PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,"Passenger, Mr. Synthetic0",male,15.21,0,0,TICK100000,18.8843,nan,S
2,0,2,"Passenger, Mrs. Synthetic1",female,16.95,0,0,TICK100001,38.5238,nan,S
3,0,3,"Passenger, Mrs. Synthetic2",female,,2,0,TICK100002,23.5174,nan,S
4,0,3,"Passenger, Mrs. Synthetic3",female,54.22,1,0,TICK100003,39.4614,nan,C
5,1,1,"Passenger, Mrs. Synthetic4",female,23.24,3,1,TICK100004,29.169,F94,S
6,1,3,"Passenger, Mrs. Synthetic5",female,23.91,0,1,TICK100005,15.726,nan,S
7,0,3,"Passenger, Mrs. Synthetic6",female,12.91,0,0,TICK100006,18.6258,nan,S
8,1,3,"Passenger, Mr. Synthetic7",male,2.29,0,0,TICK100007,37.8626,nan,S
9,1,1,"Passenger, Mrs. Synthetic8",female,27.36,0,0,TICK100008,100.1975,nan,Q
10,0,3,"Passenger, Mr. Synthetic9",male,15.03,0,2,TICK100009,35.0577,nan,S
11,1,2,"Passenger, Mr. Synthetic10",male,27.81,0,0,TICK100010,11.5735,nan,C
12,1,3,"Passenger, Mrs. Synthetic11",female,6.6,0,0,TICK100011,17.6546,nan,C
13,0,3,"Passenger, Mrs. Synthetic12",female,18.33,2,0,TICK100012,25.6633,nan,S
14,0,3,"Passenger, Mrs. Synthetic13",female,31.08,0,0,TICK100013,3.7798,nan,S
15,0,2,"Passenger, Mr. Synthetic14",male,34.13,0,0,TICK100014,16.8039,D82,S
16,1,1,"Passenger, Mrs. Synthetic15",female,34.84,1,0,TICK100015,46.5345,C21,C
17,1,3,"Passenger, Mrs. Synthetic16",female,10.51,0,0,TICK100016,18.6984,A93,S
18,0,1,"Passenger, Mr. Synthetic17",male,40.97,1,0,TICK100017,77.981,E16,S
19,0,3,"Passenger, Mr. Synthetic18",male,,1,0,TICK100018,49.0255,nan,C
20,1,3,"Passenger, Mr. Synthetic19",male,37.86,0,0,TICK100019,70.4397,nan,C
21,0,3,"Passenger, Mrs. Synthetic20",female,28.85,1,1,TICK100020,5.0307,nan,S
22,0,2,"Passenger, Mr. Synthetic21",male,9.73,0,0,TICK100021,60.7582,nan,S
23,0,3,"Passenger, Mrs. Synthetic22",female,24.57,1,0,TICK100022,4.3152,nan,S
